"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.698613428,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.200708696,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.376178163,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.352665184,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.754540936,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.962031635,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.920213787,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.56976941,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.937773284,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.704789019,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.470258691,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.106500658,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.053633919,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.452670586,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.910336617,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.677400192,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.422992933,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898238736,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.280948987,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.268960182,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.203455443,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.830107449,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.777430653,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.857918801,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895390539,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.608067329,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.6034581,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.869422371,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.219909981,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463676878,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.261908723,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.498963963,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.032433704,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.538640268,
