"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2007",13728.47,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2008",14829.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15967.08,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15799.62,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16522.72,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15943.1,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17482.13,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17503.98,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17688.02,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",18426.83,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18799.42,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19840.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2019",22321.07,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2007",19394.41,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2008",20605.94,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22176.22,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22220.84,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.61,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25536.12,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",26370.11,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26799.56,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",28674.71,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",29249.8,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.2721092458099,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615148605415,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557097451229,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709948820521,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.244122704307,
