"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","1960",5.673826,
"AUS","GFCF","TOT","AGRWTH","A","1961",1.775584,
"AUS","GFCF","TOT","AGRWTH","A","1962",6.252057,
"AUS","GFCF","TOT","AGRWTH","A","1963",9.366351,
"AUS","GFCF","TOT","AGRWTH","A","1964",7.483995,
"AUS","GFCF","TOT","AGRWTH","A","1965",8.133038,
"AUS","GFCF","TOT","AGRWTH","A","1966",5.097083,
"AUS","GFCF","TOT","AGRWTH","A","1967",7.37454,
"AUS","GFCF","TOT","AGRWTH","A","1968",6.391465,
"AUS","GFCF","TOT","AGRWTH","A","1969",3.279154,
"AUS","GFCF","TOT","AGRWTH","A","1970",3.222213,
"AUS","GFCF","TOT","AGRWTH","A","1971",2.806799,
"AUS","GFCF","TOT","AGRWTH","A","1972",3.058629,
"AUS","GFCF","TOT","AGRWTH","A","1973",4.267862,
"AUS","GFCF","TOT","AGRWTH","A","1974",-6.4098,
"AUS","GFCF","TOT","AGRWTH","A","1975",3.434219,
"AUS","GFCF","TOT","AGRWTH","A","1976",3.889984,
"AUS","GFCF","TOT","AGRWTH","A","1977",3.834596,
"AUS","GFCF","TOT","AGRWTH","A","1978",9.776066,
"AUS","GFCF","TOT","AGRWTH","A","1979",2.872924,
"AUS","GFCF","TOT","AGRWTH","A","1980",12.788307,
"AUS","GFCF","TOT","AGRWTH","A","1981",7.251035,
"AUS","GFCF","TOT","AGRWTH","A","1982",-9.469801,
"AUS","GFCF","TOT","AGRWTH","A","1983",5.080704,
"AUS","GFCF","TOT","AGRWTH","A","1984",9.609978,
"AUS","GFCF","TOT","AGRWTH","A","1985",5.929932,
"AUS","GFCF","TOT","AGRWTH","A","1986",0.38652,
"AUS","GFCF","TOT","AGRWTH","A","1987",7.489956,
"AUS","GFCF","TOT","AGRWTH","A","1988",10.72242,
"AUS","GFCF","TOT","AGRWTH","A","1989",0.90645,
"AUS","GFCF","TOT","AGRWTH","A","1990",-9.480313,
"AUS","GFCF","TOT","AGRWTH","A","1991",-3.996953,
"AUS","GFCF","TOT","AGRWTH","A","1992",6.635203,
"AUS","GFCF","TOT","AGRWTH","A","1993",5.792806,
"AUS","GFCF","TOT","AGRWTH","A","1994",11.025274,
"AUS","GFCF","TOT","AGRWTH","A","1995",2.737145,
"AUS","GFCF","TOT","AGRWTH","A","1996",6.638104,
"AUS","GFCF","TOT","AGRWTH","A","1997",9.736821,
"AUS","GFCF","TOT","AGRWTH","A","1998",4.439678,
"AUS","GFCF","TOT","AGRWTH","A","1999",8.094243,
"AUS","GFCF","TOT","AGRWTH","A","2000",-7.943476,
"AUS","GFCF","TOT","AGRWTH","A","2001",9.124877,
"AUS","GFCF","TOT","AGRWTH","A","2002",12.567257,
"AUS","GFCF","TOT","AGRWTH","A","2003",8.735547,
"AUS","GFCF","TOT","AGRWTH","A","2004",6.094584,
"AUS","GFCF","TOT","AGRWTH","A","2005",8.273485,
"AUS","GFCF","TOT","AGRWTH","A","2006",4.5196,
"AUS","GFCF","TOT","AGRWTH","A","2007",8.762052,
"AUS","GFCF","TOT","AGRWTH","A","2008",1.524015,
"AUS","GFCF","TOT","AGRWTH","A","2009",1.748062,
"AUS","GFCF","TOT","AGRWTH","A","2010",3.59974,
"AUS","GFCF","TOT","AGRWTH","A","2011",11.603096,
"AUS","GFCF","TOT","AGRWTH","A","2012",2.891343,
"AUS","GFCF","TOT","AGRWTH","A","2013",-1.889099,
"AUS","GFCF","TOT","AGRWTH","A","2014",-3.691882,
"AUS","GFCF","TOT","AGRWTH","A","2015",-3.642988,
"AUS","GFCF","TOT","AGRWTH","A","2016",-0.038976,
"AUS","GFCF","TOT","AGRWTH","A","2017",4.989112,
"AUS","GFCF","TOT","AGRWTH","A","2018",-1.462747,
"AUS","GFCF","TOT","AGRWTH","A","2019",-2.79568,
"AUS","GFCF","TOT","MLN_USD","A","1960",7594.023,
"AUS","GFCF","TOT","MLN_USD","A","1961",7555.709,
"AUS","GFCF","TOT","MLN_USD","A","1962",8263.204,
"AUS","GFCF","TOT","MLN_USD","A","1963",9144.787,
"AUS","GFCF","TOT","MLN_USD","A","1964",10182.874,
"AUS","GFCF","TOT","MLN_USD","A","1965",11145.34,
"AUS","GFCF","TOT","MLN_USD","A","1966",12051.79,
"AUS","GFCF","TOT","MLN_USD","A","1967",13338.571,
"AUS","GFCF","TOT","MLN_USD","A","1968",14610.61,
"AUS","GFCF","TOT","MLN_USD","A","1969",16429.956,
"AUS","GFCF","TOT","MLN_USD","A","1970",18026.673,
"AUS","GFCF","TOT","MLN_USD","A","1971",19276.423,
"AUS","GFCF","TOT","MLN_USD","A","1972",20282.397,
"AUS","GFCF","TOT","MLN_USD","A","1973",22443.936,
"AUS","GFCF","TOT","MLN_USD","A","1974",22298.641,
"AUS","GFCF","TOT","MLN_USD","A","1975",25369.82,
"AUS","GFCF","TOT","MLN_USD","A","1976",26874.053,
"AUS","GFCF","TOT","MLN_USD","A","1977",29004.98,
"AUS","GFCF","TOT","MLN_USD","A","1978",32888.758,
"AUS","GFCF","TOT","MLN_USD","A","1979",36414.437,
"AUS","GFCF","TOT","MLN_USD","A","1980",43995.472,
"AUS","GFCF","TOT","MLN_USD","A","1981",51586.673,
"AUS","GFCF","TOT","MLN_USD","A","1982",48269.697,
"AUS","GFCF","TOT","MLN_USD","A","1983",51133.349,
"AUS","GFCF","TOT","MLN_USD","A","1984",57215.974,
"AUS","GFCF","TOT","MLN_USD","A","1985",64435.185,
"AUS","GFCF","TOT","MLN_USD","A","1986",67053.292,
"AUS","GFCF","TOT","MLN_USD","A","1987",72446.667,
"AUS","GFCF","TOT","MLN_USD","A","1988",81196.755,
"AUS","GFCF","TOT","MLN_USD","A","1989",82876,
"AUS","GFCF","TOT","MLN_USD","A","1990",74725.424,
"AUS","GFCF","TOT","MLN_USD","A","1991",71692.466,
"AUS","GFCF","TOT","MLN_USD","A","1992",78529.226,
"AUS","GFCF","TOT","MLN_USD","A","1993",85180.179,
"AUS","GFCF","TOT","MLN_USD","A","1994",95643.869,
"AUS","GFCF","TOT","MLN_USD","A","1995",97446.311,
"AUS","GFCF","TOT","MLN_USD","A","1996",101977.5,
"AUS","GFCF","TOT","MLN_USD","A","1997",113328.197,
"AUS","GFCF","TOT","MLN_USD","A","1998",121343.544,
"AUS","GFCF","TOT","MLN_USD","A","1999",132527.854,
"AUS","GFCF","TOT","MLN_USD","A","2000",125154.653,
"AUS","GFCF","TOT","MLN_USD","A","2001",138513.13,
"AUS","GFCF","TOT","MLN_USD","A","2002",156538.412,
"AUS","GFCF","TOT","MLN_USD","A","2003",169959.326,
"AUS","GFCF","TOT","MLN_USD","A","2004",182941.747,
"AUS","GFCF","TOT","MLN_USD","A","2005",200075.516,
"AUS","GFCF","TOT","MLN_USD","A","2006",212516.163,
"AUS","GFCF","TOT","MLN_USD","A","2007",233116.614,
"AUS","GFCF","TOT","MLN_USD","A","2008",235404.924,
"AUS","GFCF","TOT","MLN_USD","A","2009",244580.469,
"AUS","GFCF","TOT","MLN_USD","A","2010",245622.995,
"AUS","GFCF","TOT","MLN_USD","A","2011",272191.873,
"AUS","GFCF","TOT","MLN_USD","A","2012",277898.697,
"AUS","GFCF","TOT","MLN_USD","A","2013",296971.28,
"AUS","GFCF","TOT","MLN_USD","A","2014",293095.41,
"AUS","GFCF","TOT","MLN_USD","A","2015",285146.555,
"AUS","GFCF","TOT","MLN_USD","A","2016",291105.217,
"AUS","GFCF","TOT","MLN_USD","A","2017",304598.211,
"AUS","GFCF","TOT","MLN_USD","A","2018",308130.702,
"AUS","GFCF","TOT","MLN_USD","A","2019",303150.566,
"AUT","GFCF","TOT","AGRWTH","A","1971",13.790463,"E"
"AUT","GFCF","TOT","AGRWTH","A","1972",12.137526,"E"
"AUT","GFCF","TOT","AGRWTH","A","1973",0.349154,"E"
"AUT","GFCF","TOT","AGRWTH","A","1974",3.968685,"E"
"AUT","GFCF","TOT","AGRWTH","A","1975",-4.951893,"E"
"AUT","GFCF","TOT","AGRWTH","A","1976",3.818012,"E"
"AUT","GFCF","TOT","AGRWTH","A","1977",8.932134,"E"
"AUT","GFCF","TOT","AGRWTH","A","1978",-6.472554,"E"
"AUT","GFCF","TOT","AGRWTH","A","1979",5.825937,"E"
"AUT","GFCF","TOT","AGRWTH","A","1980",3.32289,"E"
"AUT","GFCF","TOT","AGRWTH","A","1981",-0.055887,"E"
"AUT","GFCF","TOT","AGRWTH","A","1982",-8.324824,"E"
"AUT","GFCF","TOT","AGRWTH","A","1983",-0.429917,"E"
"AUT","GFCF","TOT","AGRWTH","A","1984",-0.245139,"E"
"AUT","GFCF","TOT","AGRWTH","A","1985",6.181619,"E"
"AUT","GFCF","TOT","AGRWTH","A","1986",1.886024,"E"
"AUT","GFCF","TOT","AGRWTH","A","1987",4.37044,"E"
"AUT","GFCF","TOT","AGRWTH","A","1988",7.061027,"E"
"AUT","GFCF","TOT","AGRWTH","A","1989",4.460943,"E"
"AUT","GFCF","TOT","AGRWTH","A","1990",5.492337,"E"
"AUT","GFCF","TOT","AGRWTH","A","1991",8.319668,"E"
